id,name,lng,lat
IDFM:64195,Plaisir - Les Clayes,1.9597661463689107,48.83044811132034
IDFM:60072,Arpajon,2.24146765914934,48.58600739565387
IDFM:66095,Conflans Sainte-Honorine,2.098467363676806,48.997106835072074
IDFM:62176,Cesson,2.594085206828706,48.5650277519103
IDFM:67107,Valmondois,2.2024926110777288,49.091302615578485
IDFM:72929,Sucy - Bonneuil,2.5070343289604966,48.771607535922755
IDFM:68129,Torcy,2.654835007866496,48.83904367366722
IDFM:69072,Nanteuil - Saâcy,3.2197628777423333,48.973904042427776
IDFM:61145,Bagneaux-sur-Loing,2.7036326933140242,48.229950466939734
IDFM:66816,Pontoise,2.0949312080900833,49.046722442258556
IDFM:70543,Gentilly,2.340776740733466,48.815789380967225
IDFM:420960,Place Robespierre,1.7461286442278428,48.98536683502747
IDFM:70119,Jean-Pierre Timbaud,2.4070692713653044,48.786699458319084
IDFM:73439,Sevran - Livry,2.534674020733233,48.935207728110974
IDFM:64382,Saint-Nom-la-Bretèche Forêt de Marly,2.0509066489796943,48.867340453902926
